Review_ID,Product,Category,Platform,Aspect,Aspect_Sentiment,Aspect_Compound,Clause
2,Samsung Galaxy M14,Smartphone,Flipkart,display,Negative,-0.4215,waste of money issue display flickering
22,Samsung Galaxy M14,Smartphone,Amazon,display,Negative,-0.5423,bad final north not analysis knowledge coach police issue display flickering
23,Samsung Galaxy A54,Smartphone,Flipkart,battery,Negative,-0.5423,bad ever next always article news issue battery draining fast
40,Samsung Galaxy S23,Smartphone,Amazon,battery,Negative,-0.35,not great wide executive strong every issue battery draining fast
42,Samsung Galaxy S23,Smartphone,Flipkart,software,Neutral,0.0,very userfriendly interface
43,Samsung Galaxy Tab S7 FE,Smartphone,Amazon,camera,Negative,-0.7502,not great issue camera quality is poor
48,Samsung Galaxy A34,Smartphone,Amazon,battery,Negative,-0.2023,worth it issue charging problem
50,Samsung Air Conditioner,Other,Amazon,build_quality,Neutral,0.0,build quality feels premium
52,Samsung Galaxy S21 FE,Smartphone,Flipkart,battery,Negative,-0.5975,not great fine remember music network anything draw issue battery draining fast
58,Samsung Galaxy M53,Smartphone,Flipkart,battery,Negative,-0.4215,waste of money issue battery draining fast
59,Samsung Galaxy S22,Smartphone,Amazon,battery,Positive,0.25,excellent issue charging problem
62,Samsung Crystal UHD TV,TV,Flipkart,camera,Positive,0.6369,love the camera quality
63,Samsung Air Conditioner,Other,Amazon,build_quality,Neutral,0.0,build quality feels premium
66,Samsung Charger 25W,Accessories,Amazon,battery,Negative,-0.35,average former light task present might difference true music issue charging problem
67,Samsung Charger 25W,Accessories,Flipkart,battery,Negative,-0.5719,bad live relationship like concern issue charging problem
70,Samsung Galaxy Buds2,Smartphone,Flipkart,display,Positive,0.5859,amazing display quality
72,Samsung Galaxy S23,Smartphone,Amazon,battery,Positive,0.4404,good issue battery draining fast
74,Samsung Galaxy A34,Smartphone,Flipkart,performance,Positive,0.8885,good benefit safe special buy commercial issue slow performance
77,Samsung Galaxy Z Fold5,Smartphone,Amazon,sound,Positive,0.5859,speaker quality is amazing
79,Samsung Refrigerator,Other,Flipkart,camera,Positive,0.6369,love the camera quality
80,Samsung Soundbar,Other,Amazon,sound,Positive,0.5859,speaker quality is amazing
85,Samsung Buds 2,Accessories,Flipkart,display,Positive,0.2732,bad hotel mother order couple certainly science two save issue display flickering
86,Samsung Galaxy A34,Smartphone,Amazon,performance,Positive,0.5719,excellent issue slow performance
92,Samsung Galaxy S23,Smartphone,Amazon,battery,Negative,-0.3875,average spend nor save tonight administration issue battery draining fast
94,Samsung Galaxy A54,Smartphone,Amazon,camera,Negative,-0.4215,average fight relate technology mrs happen better issue camera quality is poor
97,Samsung Galaxy A34,Smartphone,Flipkart,display,Negative,-0.6908,bad military expect above step avoid design issue display flickering
99,Samsung Galaxy S21 FE,Smartphone,Flipkart,battery,Positive,0.296,worth it onto authority city between quality time issue battery draining fast
106,Samsung Air Conditioner,Other,Amazon,sound,Positive,0.5859,speaker quality is amazing
109,Samsung Galaxy S21 FE,Smartphone,Amazon,camera,Positive,0.3818,good dog enjoy worker sea minute stop them significant issue camera quality is poor
115,Samsung Galaxy Tab A8,Smartphone,Flipkart,battery,Negative,-0.6705,waste of money issue charging problem
119,Samsung Galaxy S23,Smartphone,Amazon,battery,Negative,-0.2023,good alone suggest again issue charging problem
123,Samsung Galaxy Book 2,Smartphone,Amazon,camera,Negative,-0.3182,good hospital recognize low issue camera quality is poor
124,Samsung Galaxy M34,Smartphone,Amazon,performance,Negative,-0.35,average condition scene treatment really case expect issue slow performance
